index,Longitude,Latitude,County
0,-88.7225,34.9478,Alcorn
1,-93.55749999,30.90472001,Newton
2,-83.12798679,30.84533929,Lowndes
3,-77.90597641,42.73193374,Livingston
4,-88.0994,31.1222,Mobile
5,-95.490213,33.669209,Lamar
6,-96.1751,32.56499998,Kaufman
7,-93.47281993,47.21028723,Itasca
8,-94.68856,32.38856,Gregg
9,-81.5575,31.2408,Glynn
10,-98.51480001,43.94039999,Jerauld
11,-93.74782,37.82518,Cedar
12,-83.2331,37.2936,Perry
13,-97.8383698,30.2370808,Travis
14,-75.74861111,40.74611111,Carbon
15,-82.04,30.11,Clay
16,-101.856664,35.150426,Randall
17,-81.4619,34.1156,Newberry
18,-84.97758751,31.04372295,Seminole
19,-81.705,30.2006,Duval
20,-98.44781,33.37021,Young
21,-86.9606,33.6767,Jefferson
22,-82.5203,35.125,Greenville
23,-89.8714,31.6086,Jefferson Davis
24,-81.34133251,38.43800893,Kanawha
25,-77.46472,38.00945,Caroline
26,-89.8114,34.3428,Panola
27,-109.026667,33.7319444,Catron
28,-83.67308001,37.52616001,Lee
29,-100.117,44.33319999,Hughes
30,-99.77,33.2110576,Haskell
31,-98.4500262,32.0363041,Comanche
32,-87.6419,33.7481,Fayette
33,-81.09472998,28.78694001,Seminole
34,-79.55,34.95,Scotland
35,-96.29158335,31.56061498,Freestone
36,-93.93528001,31.10221999,Jasper
37,-95.54642,32.1567,Henderson
38,-96.367,42.1167,Thurston
39,-115.3441667,46.81194444,Clearwater
40,-98.72458693,28.84314273,Atascosa
41,-88.28403,30.58161,Mobile
42,-116.885,32.85305555,San Diego
43,-120.3469444,37.11305555,Madera
44,-83.40968181,33.11641583,Baldwin
45,-82.8272,38.3936,Greenup
46,-98.5987667,33.31781504,Young
47,-83.6672,37.7697,Wolfe
48,-101.027527,34.825535,Donley
49,-86.7289,33.0331,Chilton
50,-93.95191,32.73962,Caddo
51,-98.07688903,30.18590914,Hays
52,-86.70158,33.145448,Shelby
53,-83.44139997,37.37890002,Breathitt
54,-92.3533,34.6242,Saline
55,-81.35,36,Caldwell
56,-96.59732,42.59845,Union
57,-82.89835757,31.36263391,Atkinson
58,-94.804238,31.437347,Angelina
59,-102.966,41.40636,Cheyenne
60,-89.8317,33.5122,Carroll
61,-95.01875,32.67292,Upshur
62,-90.4514,33.3444,Leflore
63,-90.324272,31.996263,Copiah
64,-81.6375,33.5875,Aiken
65,-98.74498,33.686855,Archer
66,-120.4211111,37.95,Tuolumne
67,-83.3867,37.4961,Breathitt
68,-98.36158001,31.06063,Lampasas
69,-82.5208346,31.45626247,Ware
